Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J3         usb_typeB_mini_smd        4.75mm          74mm        4.75mm          74mm         7.5mm        72.4mm  B         90.00 Mini USB Type B
D177       R3_RGB_LED_THD          215mm     67.9201mm         215mm     67.9201mm      216.27mm     67.9201mm  T        180.00 RBG            
D176       R3_RGB_LED_THD          196mm     67.9201mm         196mm     67.9201mm      197.27mm     67.9201mm  T        180.00 RBG            
D175       R3_RGB_LED_THD          177mm     67.9201mm         177mm     67.9201mm      178.27mm     67.9201mm  T        180.00 RBG            
D174       R3_RGB_LED_THD          158mm     67.9201mm         158mm     67.9201mm      159.27mm     67.9201mm  T        180.00 RBG            
D173       R3_RGB_LED_THD          139mm     67.9201mm         139mm     67.9201mm      140.27mm     67.9201mm  T        180.00 RBG            
D172       R3_RGB_LED_THD          120mm     67.9201mm         120mm     67.9201mm      121.27mm     67.9201mm  T        180.00 RBG            
D171       R3_RGB_LED_THD          101mm     67.9201mm         101mm     67.9201mm      102.27mm     67.9201mm  T        180.00 RBG            
D170       R3_RGB_LED_THD           82mm     67.9201mm          82mm     67.9201mm       83.27mm     67.9201mm  T        180.00 RBG            
D169       R3_RGB_LED_THD           63mm     67.9201mm          63mm     67.9201mm       64.27mm     67.9201mm  T        180.00 RBG            
D168       R3_RGB_LED_THD           44mm     67.9201mm          44mm     67.9201mm       45.27mm     67.9201mm  T        180.00 RBG            
D167       R3_RGB_LED_THD      20.4999mm     67.9201mm     20.4999mm     67.9201mm     21.7699mm     67.9201mm  T        180.00 RBG            
D166       R3_RGB_LED_THD     272.0001mm     86.9201mm    272.0001mm     86.9201mm    273.2701mm     86.9201mm  T        180.00 RBG            
D165       R3_RGB_LED_THD          253mm     86.9201mm         253mm     86.9201mm      254.27mm     86.9201mm  T        180.00 RBG            
D163       R3_RGB_LED_THD     234.0001mm     86.9201mm    234.0001mm     86.9201mm    235.2701mm     86.9201mm  T        180.00 RBG            
D162       R3_RGB_LED_THD     215.0001mm     86.9201mm    215.0001mm     86.9201mm    216.2701mm     86.9201mm  T        180.00 RBG            
D161       R3_RGB_LED_THD          196mm     86.9201mm         196mm     86.9201mm      197.27mm     86.9201mm  T        180.00 RBG            
D160       R3_RGB_LED_THD          177mm     86.9201mm         177mm     86.9201mm      178.27mm     86.9201mm  T        180.00 RBG            
D159       R3_RGB_LED_THD          158mm     86.9201mm         158mm     86.9201mm      159.27mm     86.9201mm  T        180.00 RBG            
D158       R3_RGB_LED_THD          139mm     86.9201mm         139mm     86.9201mm      140.27mm     86.9201mm  T        180.00 RBG            
D157       R3_RGB_LED_THD          120mm     86.9201mm         120mm     86.9201mm      121.27mm     86.9201mm  T        180.00 RBG            
D156       R3_RGB_LED_THD          101mm     86.9201mm         101mm     86.9201mm      102.27mm     86.9201mm  T        180.00 RBG            
D155       R3_RGB_LED_THD           82mm     86.9201mm          82mm     86.9201mm       83.27mm     86.9201mm  T        180.00 RBG            
D154       R3_RGB_LED_THD           63mm     86.9201mm          63mm     86.9201mm       64.27mm     86.9201mm  T        180.00 RBG            
D152       R3_RGB_LED_THD           44mm     86.9201mm          44mm     86.9201mm       45.27mm     86.9201mm  T        180.00 RBG            
D148       R3_RGB_LED_THD           16mm     86.9201mm          16mm     86.9201mm       17.27mm     86.9201mm  T        180.00 RBG            
K63        TACTILE_SWITCH_GATERON_PCB         234mm       18.54mm         234mm          16mm      230.19mm       18.54mm  T          0.00 KEY0           
K62        TACTILE_SWITCH_GATERON_PCB      212.75mm       18.54mm      212.75mm          16mm      208.94mm       18.54mm  T          0.00 KEY0           
