Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J3         usb_typeB_mini_smd        4.75mm          74mm        4.75mm          74mm         7.5mm        72.4mm  B         90.00 Mini USB Type B
R5         0603_[1608]        272.5002mm       40.55mm       272.5mm       40.55mm    271.8002mm       40.55mm  T        360.00 1k             
R2         0603_[1608]             265mm     71.7498mm         265mm       71.75mm         265mm     72.4498mm  B        270.00 47k            
R1         0603_[1608]        267.5002mm       77.75mm       267.5mm       77.75mm    266.8002mm       77.75mm  B        360.00 10k            
Q2         SOT-23                267.5mm       71.75mm       267.5mm       71.75mm    266.4625mm        70.8mm  B        360.00 BC817          
Q1         SOT-23                267.5mm       75.25mm       267.5mm       75.25mm    268.5375mm        76.2mm  B        180.00 BC817          
L9         0805_[2012]          262.25mm       52.75mm      262.25mm       52.75mm      262.25mm       53.55mm  T        270.00 220 ohm @ 100MHz
L8         0805_[2012]             263mm          50mm         263mm          50mm       262.2mm          50mm  T        360.00 220 ohm @ 100MHz
L7         0805_[2012]           205.5mm      104.75mm       205.5mm      104.75mm       204.7mm      104.75mm  T        360.00 220 ohm @ 100MHz
L6         0805_[2012]          216.25mm         101mm      216.25mm         101mm      217.05mm         101mm  T        180.00 220 ohm @ 100MHz
L5         0805_[2012]               2mm          82mm           2mm          82mm           2mm        82.8mm  T        270.00 220 ohm @ 100MHz
L4         0805_[2012]            4.25mm          82mm        4.25mm          82mm        4.25mm        82.8mm  T        270.00 220 ohm @ 100MHz
L3         0805_[2012]            7.75mm        69.5mm        7.75mm        69.5mm        7.75mm        68.7mm  T         90.00 220 ohm @ 100MHz
L2         0805_[2012]           276.5mm       77.75mm       276.5mm       77.75mm       275.7mm       77.75mm  T        360.00 220 ohm @ 100MHz
L1         0805_[2012]          281.25mm          88mm      281.25mm          88mm      281.25mm        88.8mm  T        270.00 220 ohm @ 100MHz
J5         fcc-zif_10pin_0.5mm      211.25mm       103.5mm      211.25mm       103.5mm         209mm      102.51mm  B          0.00 Display        
J4         HEADER_1X6_2.54MM_THD      283.25mm        16.5mm      283.25mm        16.5mm      283.25mm       22.85mm  T        270.00 PCB Conn       
D68        SOD-123              278.75mm       20.25mm      278.75mm       20.25mm      278.75mm       18.55mm  B        270.00 diode          
D67        SOD-123               259.5mm          21mm       259.5mm          21mm       259.5mm        19.3mm  B        270.00 diode          
D66        SOD-123               240.5mm          21mm       240.5mm          21mm       240.5mm        19.3mm  B        270.00 diode          
D65        SOD-123                 219mm          21mm         219mm          21mm         219mm        19.3mm  B        270.00 diode          
D64        SOD-123               195.5mm          21mm       195.5mm          21mm       195.5mm        19.3mm  B        270.00 diode          
D63        SOD-123               164.5mm          21mm       164.5mm          21mm       164.5mm        19.3mm  B        270.00 diode          
D62        SOD-123                 136mm          21mm         136mm          21mm         136mm        19.3mm  B        270.00 diode          
D61        SOD-123               107.5mm          21mm       107.5mm          21mm       107.5mm        19.3mm  B        270.00 diode          
D60        SOD-123                  76mm          21mm          76mm          21mm          76mm        19.3mm  B        270.00 diode          
D59        SOD-123                52.5mm          21mm        52.5mm          21mm        52.5mm        19.3mm  B        270.00 diode          
D58        SOD-123                  27mm          21mm          27mm          21mm          27mm        19.3mm  B        270.00 diode          
D57        SOD-123               257.5mm       40.25mm       257.5mm       40.25mm       255.8mm       40.25mm  B        180.00 diode          
D56        SOD-123               226.5mm          39mm       226.5mm          39mm       226.5mm        37.3mm  B        270.00 diode          
D55        SOD-123               221.5mm          39mm       221.5mm          39mm       221.5mm        37.3mm  B        270.00 diode          
D54        SOD-123                 202mm       39.25mm         202mm       39.25mm         202mm       37.55mm  B        270.00 diode          
D53        SOD-123               183.5mm       39.25mm       183.5mm       39.25mm       183.5mm       37.55mm  B        270.00 diode          
D52        SOD-123               164.5mm          39mm       164.5mm          39mm       164.5mm        37.3mm  B        270.00 diode          
D51        SOD-123               145.5mm          40mm       145.5mm          40mm       145.5mm        38.3mm  B        270.00 diode          
D50        SOD-123              126.75mm          39mm      126.75mm          39mm      126.75mm        37.3mm  B        270.00 diode          
D49        SOD-123               107.5mm          40mm       107.5mm          40mm       107.5mm        38.3mm  B        270.00 diode          
D48        SOD-123                  89mm          39mm          89mm          39mm          89mm        37.3mm  B        270.00 diode          
D47        SOD-123                69.5mm          39mm        69.5mm          39mm        69.5mm        37.3mm  B        270.00 diode          
D46        SOD-123                50.5mm          39mm        50.5mm          39mm        50.5mm        37.3mm  B        270.00 diode          
D45        SOD-123                  27mm          40mm          27mm          40mm          27mm        38.3mm  B        270.00 diode          
D44        SOD-123              244.75mm       59.25mm      244.75mm       59.25mm      244.75mm       60.95mm  B         90.00 diode          
D43        SOD-123               240.5mm          59mm       240.5mm          59mm       240.5mm        57.3mm  B        270.00 diode          
D42        SOD-123               222.5mm       57.25mm       222.5mm       57.25mm       222.5mm       55.55mm  B        270.00 diode          
D41        SOD-123               202.5mm          59mm       202.5mm          59mm       202.5mm        57.3mm  B        270.00 diode          
D40        SOD-123               183.5mm          59mm       183.5mm          59mm       183.5mm        57.3mm  B        270.00 diode          
D39        SOD-123               164.5mm          59mm       164.5mm          59mm       164.5mm        57.3mm  B        270.00 diode          
D38        SOD-123               145.5mm          59mm       145.5mm          59mm       145.5mm        57.3mm  B        270.00 diode          
D37        SOD-123               126.5mm          59mm       126.5mm          59mm       126.5mm        57.3mm  B        270.00 diode          
D36        SOD-123               107.5mm          59mm       107.5mm          59mm       107.5mm        57.3mm  B        270.00 diode          
D35        SOD-123                88.5mm          59mm        88.5mm          59mm        88.5mm        57.3mm  B        270.00 diode          
D34        SOD-123                69.5mm          59mm        69.5mm          59mm        69.5mm        57.3mm  B        270.00 diode          
D33        SOD-123                50.5mm          59mm        50.5mm          59mm        50.5mm        57.3mm  B        270.00 diode          
D32        SOD-123                  27mm          59mm          27mm          59mm          27mm        57.3mm  B        270.00 diode          
D31        SOD-123              277.75mm       68.95mm      277.75mm       68.95mm      277.75mm       70.65mm  B         90.00 diode          
D30        SOD-123              245.25mm       73.75mm      245.25mm       73.75mm      245.25mm       72.05mm  B        270.00 diode          
D29        SOD-123                 243mm       73.75mm         243mm       73.75mm         243mm       72.05mm  B        270.00 diode          
D28        SOD-123                 224mm       73.75mm         224mm       73.75mm         224mm       72.05mm  B        270.00 diode          
D27        SOD-123                 205mm       73.75mm         205mm       73.75mm         205mm       72.05mm  B        270.00 diode          
D26        SOD-123                 186mm       73.75mm         186mm       73.75mm         186mm       72.05mm  B        270.00 diode          
D25        SOD-123                 167mm       73.75mm         167mm       73.75mm         167mm       72.05mm  B        270.00 diode          
D24        SOD-123                 148mm       73.75mm         148mm       73.75mm         148mm       72.05mm  B        270.00 diode          
D23        SOD-123                 129mm       73.75mm         129mm       73.75mm         129mm       72.05mm  B        270.00 diode          
D22        SOD-123               107.5mm          78mm       107.5mm          78mm       107.5mm        76.3mm  B        270.00 diode          
D21        SOD-123                88.5mm          78mm        88.5mm          78mm        88.5mm        76.3mm  B        270.00 diode          
D20        SOD-123                69.5mm          78mm        69.5mm          78mm        69.5mm        76.3mm  B        270.00 diode          
D19        SOD-123                50.5mm          78mm        50.5mm          78mm        50.5mm        76.3mm  B        270.00 diode          
D18        SOD-123                  27mm          78mm          27mm          78mm          27mm        76.3mm  B        270.00 diode          
D17        SOD-123                 262mm          97mm         262mm          97mm         262mm        95.3mm  B        270.00 diode          
D16        SOD-123               259.5mm          97mm       259.5mm          97mm       259.5mm        95.3mm  B        270.00 diode          
D15        SOD-123                 241mm          96mm         241mm          96mm         241mm        94.3mm  B        270.00 diode          
D14        SOD-123                 222mm          96mm         222mm          96mm         222mm        94.3mm  B        270.00 diode          
D13        SOD-123              202.25mm          96mm      202.25mm          96mm      202.25mm        94.3mm  B        270.00 diode          
D12        SOD-123                 184mm          96mm         184mm          96mm         184mm        94.3mm  B        270.00 diode          
D11        SOD-123              164.25mm          96mm      164.25mm          96mm      164.25mm        94.3mm  B        270.00 diode          
D10        SOD-123                 146mm          96mm         146mm          96mm         146mm        94.3mm  B        270.00 diode          
D9         SOD-123                 127mm          96mm         127mm          96mm         127mm        94.3mm  B        270.00 diode          
D8         SOD-123                 108mm          96mm         108mm          96mm         108mm        94.3mm  B        270.00 diode          
D7         SOD-123                  89mm          96mm          89mm          96mm          89mm        94.3mm  B        270.00 diode          
D6         SOD-123                  70mm          96mm          70mm          96mm          70mm        94.3mm  B        270.00 diode          
D5         SOD-123                  51mm          96mm          51mm          96mm          51mm        94.3mm  B        270.00 diode          
D4         SOD-123                  23mm          96mm          23mm          96mm          23mm        94.3mm  B        270.00 diode          
D1         SOD-123                4.25mm        86.5mm        4.25mm        86.5mm        4.25mm        88.2mm  T         90.00 MBR120VLSFT1G  
C52        0603_[1608]          142.25mm      6.5002mm      142.25mm         6.5mm      142.25mm      5.8002mm  T         90.00 100nF          
C51        0603_[1608]           172.5mm      6.5002mm       172.5mm         6.5mm       172.5mm      5.8002mm  T         90.00 100nF          
C50        0603_[1608]             112mm      6.9998mm         112mm           7mm         112mm      7.6998mm  T        270.00 100nF          
C43        0603_[1608]          263.25mm     22.2502mm      263.25mm       22.25mm      263.25mm     21.5502mm  B         90.00 100nF          
C42        0603_[1608]        247.0002mm        37.5mm         247mm        37.5mm    246.3002mm        37.5mm  B        360.00 100nF          
C41        0603_[1608]           248.5mm     60.2498mm       248.5mm       60.25mm       248.5mm     60.9498mm  B        270.00 100nF          
C40        0603_[1608]           261.5mm     65.4998mm       261.5mm        65.5mm       261.5mm     66.1998mm  B        270.00 100nF          
C39        0603_[1608]          262.75mm     92.4998mm      262.75mm        92.5mm      262.75mm     93.1998mm  B        270.00 100nF          
C38        0603_[1608]             243mm       97.25mm         243mm     97.2498mm         243mm       96.55mm  B         90.00 100nF          
C37        0603_[1608]          226.25mm     94.7502mm      226.25mm       94.75mm      226.25mm     94.0502mm  B         90.00 100nF          
C36        0603_[1608]          267.75mm    100.2498mm      267.75mm      100.25mm      267.75mm    100.9498mm  B        270.00 100nF          
C35        0603_[1608]        247.0002mm          41mm         247mm          41mm    246.3002mm          41mm  T        360.00 100nF          
C34        0603_[1608]        247.0002mm          41mm         247mm          41mm    246.3002mm          41mm  B        360.00 100nF          
C33        0603_[1608]        250.7502mm          41mm      250.75mm          41mm    250.0502mm          41mm  B        360.00 100nF          
C32        0603_[1608]        250.7502mm        37.5mm      250.75mm        37.5mm    250.0502mm        37.5mm  B        360.00 100nF          
C31        0603_[1608]        247.0002mm          32mm         247mm          32mm    246.3002mm          32mm  B        360.00 100nF          
C30        0603_[1608]        250.7502mm          32mm      250.75mm          32mm    250.0502mm          32mm  B        360.00 100nF          
C29        0603_[1608]        247.0002mm          30mm         247mm          30mm    246.3002mm          30mm  B        360.00 100nF          
C28        0603_[1608]        250.7502mm          30mm      250.75mm          30mm    250.0502mm          30mm  B        360.00 100nF          
C27        0603_[1608]          271.75mm    100.2502mm      271.75mm      100.25mm      271.75mm     99.5502mm  B         90.00 100nF          
C26        0603_[1608]          247.75mm     98.2502mm      247.75mm       98.25mm      247.75mm     97.5502mm  B         90.00 100nF          
C25        0603_[1608]        262.5002mm          71mm       262.5mm          71mm    261.8002mm          71mm  B        360.00 100nF          
C24        1206_[3216]             262mm          73mm         262mm          73mm      263.35mm          73mm  B        180.00 10uF           
C23        0603_[1608]          268.75mm     81.7502mm      268.75mm       81.75mm      268.75mm     81.0502mm  B         90.00 100nF          
C22        1206_[3216]             267mm          81mm         267mm          81mm         267mm       82.35mm  B        270.00 10uF           
C21        0603_[1608]             264mm     52.7498mm         264mm       52.75mm         264mm     53.4498mm  T        270.00 4.7uF          
C20        0603_[1608]           275.5mm     42.2502mm       275.5mm       42.25mm       275.5mm     41.5502mm  T         90.00 100nF          
C19        0603_[1608]           271.5mm        42.5mm       271.5mm     42.4998mm       271.5mm        41.8mm  T         90.00 100nF          
C18        0603_[1608]             274mm     53.7498mm         274mm       53.75mm         274mm     54.4498mm  T        270.00 100nF          
C17        0603_[1608]        266.7502mm       45.25mm      266.75mm       45.25mm    266.0502mm       45.25mm  T          0.00 100nF          
C16        0603_[1608]           278.6mm     53.5002mm       278.6mm        53.5mm       278.6mm     52.8002mm  T         90.00 2.2uF          
C15        0603_[1608]        273.5002mm        43.5mm       273.5mm        43.5mm    272.8002mm        43.5mm  T        360.00 2.2uF          
C14        0603_[1608]           270.5mm     53.7498mm       270.5mm       53.75mm       270.5mm     54.4498mm  T        270.00 1uF            
C13        0603_[1608]        272.0002mm       50.75mm         272mm       50.75mm    271.3002mm       50.75mm  T        360.00 27pF           
C12        0603_[1608]        282.7498mm       42.75mm      282.75mm       42.75mm    283.4498mm       42.75mm  T        180.00 100nF          
C11        0603_[1608]          274.75mm     47.0002mm      274.75mm          47mm      274.75mm     46.3002mm  T         90.00 27pF           
C10        0603_[1608]             2.5mm     62.2498mm         2.5mm       62.25mm         2.5mm     62.9498mm  B        270.00 100nF          
C9         0603_[1608]            6.25mm     88.0002mm        6.25mm          88mm        6.25mm     87.3002mm  T         90.00 100nF          
C8         0603_[1608]          5.4998mm       70.25mm         5.5mm       70.25mm      6.1998mm       70.25mm  T        180.00 100nF          
C7         0603_[1608]          8.7502mm       71.75mm        8.75mm       71.75mm      8.0502mm       71.75mm  T        360.00 10nF           
C6         1206_[3216]            4.75mm        68.5mm        4.75mm        68.5mm         6.1mm        68.5mm  T        180.00 4.7uF          
C5         0603_[1608]        276.2498mm       81.25mm      276.25mm       81.25mm    276.9498mm       81.25mm  T        180.00 100nF          
C3         0603_[1608]        281.7502mm       85.75mm      281.75mm       85.75mm    281.0502mm       85.75mm  T        360.00 10nF           
C2         0603_[1608]        281.7502mm       90.25mm      281.75mm       90.25mm    281.0502mm       90.25mm  T        360.00 100nF          
C1         1206_[3216]           282.5mm          92mm       282.5mm          92mm      281.15mm          92mm  T        360.00 4.7uF          
Q3         SOT-23                110.5mm        82.5mm       110.5mm        82.5mm      109.55mm     83.5375mm  B        270.00 MOSFET P       
Q4         SOT-23                129.5mm        82.5mm       129.5mm        82.5mm      128.55mm     83.5375mm  B        270.00 MOSFET P       
Q5         SOT-23                 72.5mm        82.5mm        72.5mm        82.5mm       71.55mm     83.5375mm  B        270.00 MOSFET P       
Q6         SOT-23                167.5mm        82.5mm       167.5mm        82.5mm      166.55mm     83.5375mm  B        270.00 MOSFET P       
Q7         SOT-23                224.5mm        82.5mm       224.5mm        82.5mm      223.55mm     83.5375mm  B        270.00 MOSFET P       
Q8         SOT-23                205.5mm        82.5mm       205.5mm        82.5mm      204.55mm     83.5375mm  B        270.00 MOSFET P       
Q9         SOT-23                186.5mm        82.5mm       186.5mm        82.5mm      185.55mm     83.5375mm  B        270.00 MOSFET P       
Q10        SOT-23                 91.5mm        82.5mm        91.5mm        82.5mm       90.55mm     83.5375mm  B        270.00 MOSFET P       
Q11        SOT-23                  274mm       29.75mm         274mm       29.75mm      273.05mm     28.7125mm  T         90.00 BC817          
R76        0603_[1608]          115.75mm      7.0002mm      115.75mm           7mm      115.75mm      6.3002mm  T         90.00 33R            
R77        0603_[1608]          168.25mm      6.5002mm      168.25mm         6.5mm      168.25mm      5.8002mm  T         90.00 33R            
R78        0805_[2012]           140.5mm         6.5mm       140.5mm         6.5mm       140.5mm         5.7mm  T         90.00 3k3            
R79        0805_[2012]          170.75mm         6.5mm      170.75mm         6.5mm      170.75mm         5.7mm  T         90.00 3k3            
R80        0603_[1608]           271.5mm     29.2502mm       271.5mm       29.25mm       271.5mm     28.5502mm  T         90.00 1k             
R81        0603_[1608]        274.0002mm       27.25mm         274mm       27.25mm    273.3002mm       27.25mm  T        360.00 47k            
D151       led_3.2x2.8mm_4p_smd          30mm          86mm          30mm          86mm        28.5mm       86.75mm  T        270.00 RBG            
D150       led_3.2x2.8mm_4p_smd          30mm        91.5mm          30mm        91.5mm        28.5mm       92.25mm  T        270.00 RBG            
D149       led_3.2x2.8mm_4p_smd          30mm        97.5mm          30mm        97.5mm        28.5mm       98.25mm  T        270.00 RBG            
D212       R3_RGB_LED_THD        129.5mm       10.92mm       129.5mm       10.92mm      130.77mm       10.92mm  T        180.00 RBG            
D164       led_3.2x2.8mm_4p_smd       243.5mm        82.5mm       243.5mm        82.5mm      244.25mm          84mm  T        180.00 RBG            
D200       led_3.2x2.8mm_4p_smd       129.5mm        25.5mm       129.5mm        25.5mm         131mm       24.75mm  T         90.00 RBG            
D153       led_3.2x2.8mm_4p_smd        53.5mm        82.5mm        53.5mm        82.5mm       54.25mm          84mm  T        180.00 RBG            
R82        0603_[1608]             146mm     82.5002mm         146mm        82.5mm         146mm     81.8002mm  B         90.00 1k             
R83        0603_[1608]             151mm     82.4998mm         151mm        82.5mm         151mm     83.1998mm  B        270.00 4k7            
Q12        SOT-23                148.5mm        82.5mm       148.5mm        82.5mm      147.55mm     83.5375mm  B        270.00 MOSFET P       
C4         0603_[1608]             9.5mm     69.4998mm         9.5mm        69.5mm         9.5mm     70.1998mm  T        270.00 100nF          
U1         SOT-563              10.996mm     69.5056mm      10.996mm     69.5056mm      10.496mm     70.2056mm  B        360.00 TVS Array (WE 82400152)
D215       R3_RGB_LED_THD       212.75mm       10.92mm      212.75mm       10.92mm      214.02mm       10.92mm  T        180.00 RBG            
D216       R3_RGB_LED_THD     234.0001mm       10.92mm    234.0001mm       10.92mm    235.2701mm       10.92mm  T        180.00 RBG            
D217       R3_RGB_LED_THD          253mm       10.92mm         253mm       10.92mm      254.27mm       10.92mm  T        180.00 RBG            
D218       R3_RGB_LED_THD     272.0001mm       10.92mm    272.0001mm       10.92mm    273.2701mm       10.92mm  T        180.00 RBG            
D213       R3_RGB_LED_THD          158mm       10.92mm         158mm       10.92mm      159.27mm       10.92mm  T        180.00 RBG            
D214       R3_RGB_LED_THD       189.25mm       10.92mm      189.25mm       10.92mm      190.52mm       10.92mm  T        180.00 RBG            

